time,country,mortality_costs
1750,ABW,
1750,AFG,
1750,AGO,
1750,ALB,
1750,ARE,
1750,ARG,
1750,ARM,
1750,AUS,
1750,AUT,
1750,AZE,
1750,BDI,
1750,BEL,
1750,BEN,
1750,BFA,
1750,BGD,
1750,BGR,
1750,BHR,
1750,BHS,
1750,BIH,
1750,BLR,
1750,BLZ,
1750,BOL,
1750,BRA,
1750,BRB,
1750,BRN,
1750,BTN,
1750,BWA,
1750,CAF,
1750,CAN,
1750,CHE,
1750,CHL,
1750,CHN,
1750,CIV,
1750,CMR,
1750,COD,
1750,COG,
1750,COL,
1750,COM,
1750,CPV,
1750,CRI,
1750,CUB,
1750,CYP,
1750,CZE,
1750,DEU,
1750,DJI,
1750,DNK,
1750,DOM,
1750,DZA,
1750,ECU,
1750,EGY,
1750,ERI,
1750,ESP,
1750,EST,
1750,ETH,
1750,FIN,
1750,FJI,
1750,FRA,
1750,GAB,
1750,GBR,
1750,GEO,
1750,GHA,
1750,GIN,
1750,GMB,
1750,GNB,
1750,GNQ,
1750,GRC,
1750,GTM,
1750,GUY,
1750,HKG,
1750,HND,
1750,HRV,
1750,HTI,
1750,HUN,
1750,IDN,
1750,IND,
1750,IRL,
1750,IRN,
1750,IRQ,
1750,ISL,
1750,ISR,
1750,ITA,
1750,JAM,
1750,JOR,
1750,JPN,
1750,KAZ,
1750,KEN,
1750,KGZ,
1750,KHM,
1750,KOR,
1750,KWT,
1750,LAO,
1750,LBN,
1750,LBR,
1750,LBY,
1750,LCA,
1750,LKA,
1750,LSO,
1750,LTU,
1750,LUX,
1750,LVA,
1750,MAC,
1750,MAR,
1750,MDA,
1750,MDG,
1750,MDV,
1750,MEX,
1750,MKD,
1750,MLI,
1750,MLT,
1750,MMR,
1750,MNE,
1750,MNG,
1750,MOZ,
1750,MRT,
1750,MUS,
1750,MWI,
1750,MYS,
1750,NAM,
1750,NCL,
1750,NER,
1750,NGA,
1750,NIC,
1750,NLD,
1750,NOR,
1750,NPL,
1750,NZL,
1750,OMN,
1750,PAK,
1750,PAN,
1750,PER,
1750,PHL,
1750,PNG,
1750,POL,
1750,PRI,
1750,PRT,
1750,PRY,
1750,PSE,
1750,PYF,
1750,QAT,
1750,ROU,
1750,RUS,
1750,RWA,
1750,SAU,
1750,SDN,
1750,SEN,
1750,SGP,
1750,SLB,
1750,SLE,
1750,SLV,
1750,SOM,
1750,SRB,
1750,STP,
1750,SUR,
1750,SVK,
1750,SVN,
1750,SWE,
1750,SWZ,
1750,SYR,
1750,TCD,
1750,TGO,
1750,THA,
1750,TJK,
1750,TKM,
1750,TLS,
1750,TON,
1750,TTO,
1750,TUN,
1750,TUR,
1750,TWN,
1750,TZA,
1750,UGA,
1750,UKR,
1750,URY,
1750,USA,
1750,UZB,
1750,VCT,
1750,VEN,
1750,VNM,
1750,VUT,
1750,WSM,
1750,YEM,
1750,ZAF,
1750,ZMB,
1750,ZWE,
1751,ABW,
1751,AFG,
1751,AGO,
1751,ALB,
1751,ARE,
1751,ARG,
1751,ARM,
1751,AUS,
1751,AUT,
1751,AZE,
1751,BDI,
1751,BEL,
1751,BEN,
1751,BFA,
1751,BGD,
1751,BGR,
1751,BHR,
1751,BHS,
1751,BIH,
1751,BLR,
1751,BLZ,
1751,BOL,
1751,BRA,
1751,BRB,
1751,BRN,
1751,BTN,
1751,BWA,
1751,CAF,
1751,CAN,
1751,CHE,
1751,CHL,
1751,CHN,
1751,CIV,
1751,CMR,
1751,COD,
1751,COG,
1751,COL,
1751,COM,
1751,CPV,
1751,CRI,
1751,CUB,
1751,CYP,
1751,CZE,
1751,DEU,
1751,DJI,
1751,DNK,
1751,DOM,
1751,DZA,
1751,ECU,
1751,EGY,
1751,ERI,
1751,ESP,
1751,EST,
1751,ETH,
1751,FIN,
1751,FJI,
1751,FRA,
1751,GAB,
1751,GBR,
1751,GEO,
1751,GHA,
1751,GIN,
1751,GMB,
1751,GNB,
1751,GNQ,
1751,GRC,
1751,GTM,
1751,GUY,
1751,HKG,
1751,HND,
1751,HRV,
1751,HTI,
1751,HUN,
1751,IDN,
1751,IND,
1751,IRL,
1751,IRN,
1751,IRQ,
1751,ISL,
1751,ISR,
1751,ITA,
1751,JAM,
1751,JOR,
1751,JPN,
1751,KAZ,
1751,KEN,
1751,KGZ,
1751,KHM,
1751,KOR,
1751,KWT,
1751,LAO,
1751,LBN,
1751,LBR,
1751,LBY,
1751,LCA,
1751,LKA,
1751,LSO,
